Year,Month,State,Species,Location,Food,Illnesses,Hospitalizations,Fatalities,normalized_food
2009,January,MN,norovirus,restaurant - sit-down dining,,2.0,0.0,0.0,
2009,January,MN,norovirus,,,16.0,0.0,0.0,
2009,January,MN,norovirus,restaurant - sit-down dining,,5.0,0.0,0.0,
2009,January,MN,norovirus,"restaurant - ""fast-food""(drive up service or pay at counter)",,3.0,0.0,0.0,
2009,January,MN,norovirus,restaurant - other or unknown type,cookies,21.0,0.0,0.0,cooky
2009,January,MN,norovirus,restaurant - other or unknown type,"salad, ",7.0,0.0,0.0,salad
2009,February,MN,norovirus,restaurant - other or unknown type,,5.0,0.0,0.0,
2009,February,MN,norovirus genogroup ii,restaurant - other or unknown type,fruit; mushrooms; pasta salad,22.0,1.0,0.0,fruit mushroom pasta salad
2009,February,MN,norovirus,restaurant - other or unknown type,vegetables,16.0,0.0,0.0,vegetable
2009,February,MN,campylobacter jejuni,restaurant - other or unknown type,"lettuce, ",11.0,2.0,0.0,lettuce
2009,February,MN,norovirus,restaurant - sit-down dining,,6.0,0.0,0.0,
2009,February,AK,norovirus genogroup i; norovirus genogroup ii,private home/residence,,35.0,0.0,0.0,
2009,January,AL,bacillus cereus,restaurant - sit-down dining,"rice, white",13.0,0.0,0.0,rice white
2009,January,IL,norovirus genogroup ii,restaurant - sit-down dining,,6.0,0.0,0.0,
2009,January,IL,norovirus genogroup ii,restaurant - sit-down dining,,23.0,0.0,0.0,
2009,January,IL,,restaurant - other or unknown type,,4.0,0.0,0.0,
2009,January,IL,,caterer (food prepared off-site from where served),,31.0,0.0,0.0,
2009,January,IL,norovirus genogroup ii,restaurant - other or unknown type,"cake, chocolate",26.0,1.0,0.0,cake chocolate
2009,January,IL,,restaurant - other or unknown type,,2.0,0.0,0.0,
2009,January,IL,,restaurant - other or unknown type,,4.0,0.0,0.0,
2009,January,IL,salmonella enterica,grocery store; other,,7.0,2.0,0.0,
2009,January,IL,norovirus genogroup ii,restaurant - sit-down dining,,16.0,0.0,0.0,
2009,January,IL,,restaurant - other or unknown type,,5.0,0.0,0.0,
2009,February,IL,norovirus genogroup ii,other,,51.0,0.0,0.0,
2009,February,IL,norovirus genogroup ii,restaurant - sit-down dining,,10.0,0.0,0.0,
2009,February,IL,,restaurant - other or unknown type,,3.0,0.0,0.0,
2009,February,IL,,restaurant - other or unknown type,,5.0,0.0,0.0,
2009,February,IL,norovirus genogroup ii,restaurant - other or unknown type,,13.0,0.0,0.0,
2009,March,IL,,other,,2.0,0.0,0.0,
2009,March,IL,norovirus genogroup ii,caterer (food prepared off-site from where served); restaurant - sit-down dining,chicken salad,22.0,1.0,0.0,chicken salad
2009,January,PA,campylobacter jejuni,other,"milk, whole milk unpasteurized",9.0,1.0,0.0,milk whole milk unpasteurized
2009,January,TN,norovirus genogroup i,grocery store,cake,8.0,1.0,0.0,cake
2009,March,TN,norovirus genogroup i,restaurant - sit-down dining,"oysters, raw",9.0,0.0,0.0,oyster raw
2009,March,NY,shigella sonnei,restaurant - sit-down dining,multiple foods,96.0,0.0,0.0,multiple food
2009,January,MA,salmonella enterica,restaurant - sit-down dining,,5.0,0.0,0.0,
2009,January,MA,"escherichia coli, shiga toxin-producing",private home/residence,"ground beef, hamburger",3.0,2.0,0.0,ground beef hamburger
2009,January,MA,,banquet facility (food prepared and served on-site),salads; tomatoes; vegetables,32.0,0.0,0.0,salad tomato vegetable
2009,January,MI,,restaurant - other or unknown type,"burrito, chicken",15.0,0.0,0.0,burrito chicken
2009,February,NY,norovirus,caterer (food prepared off-site from where served); restaurant - other or unknown type,lettuce,24.0,0.0,0.0,lettuce
2009,February,MA,salmonella enterica,,,2.0,0.0,0.0,
2009,January,TN,norovirus genogroup ii,restaurant - sit-down dining,"oysters, raw",22.0,4.0,0.0,oyster raw
2009,January,TN,norovirus genogroup i,"restaurant - ""fast-food""(drive up service or pay at counter)",,6.0,0.0,0.0,
2009,January,NY,,restaurant - sit-down dining,"ground beef, ",6.0,0.0,0.0,ground beef
2009,January,FL,norovirus genogroup i,restaurant - other or unknown type,"sandwich, wrap; sandwich, wrap",24.0,0.0,0.0,sandwich wrap sandwich wrap
2009,February,NY,norovirus,restaurant - sit-down dining,"ground beef, gravy, toast, egg dish",51.0,1.0,0.0,ground beef gravy toast egg dish
2009,February,NY,,restaurant - sit-down dining,,9.0,1.0,0.0,
2009,February,NY,,restaurant - sit-down dining,,12.0,0.0,0.0,
2009,January,FL,,restaurant - sit-down dining,macaroni salad,15.0,0.0,0.0,macaroni salad
2009,February,FL,norovirus genogroup ii,long-term care/nursing home/assisted living facility,"cookies, ",13.0,2.0,0.0,cooky
2009,March,NY,staphylococcus aureus,private home/residence,chicken yak,20.0,0.0,0.0,chicken yak
2009,February,WY,norovirus genogroup ii,,,13.0,0.0,0.0,
2009,March,IL,norovirus,caterer (food prepared off-site from where served); private home/residence; school/college/university,"ice; lemonade, ",189.0,1.0,0.0,ice lemonade
2009,March,IL,salmonella enterica,restaurant - sit-down dining,,6.0,0.0,0.0,
2009,March,IL,campylobacter jejuni; listeria monocytogenes,private home/residence,,6.0,1.0,0.0,
